miRBase cluster	Algorithm cluster
MIR8639	MIR8639
mir-590	mir-590
mir-337	mir-337
mir-2733	mir-2733_1
mir-86	mir-86
mir-456	mir-456
MIR1509	MIR7122
MIR9746	MIR9746
mir-568	mir-568
MIR6151	MIR6151
mir-1224	mir-1224
mir-1298	mir-1298
mir-802	mir-802
mir-1193	mir-1193
mir-599	mir-599
MIR439	MIR439
mir-550	mir-550
mir-8799	mir-8799
mir-8510	mir-8510
mir-239	mir-239_1
mir-242_2	mir-242_1
mir-7359	mir-7359b-4
mir-761	mir-761
mir-2807	mir-2807
MIR2629	MIR2629
mir-7371	mir-7371
mir-989	mir-989
mir-1273	mir-1273
mir-7360	mir-7360-9
MIR169_5	MIR169_2
mir-1343	mir-1343
mir-9198	mir-9198
mir-9189	mir-9189
MIR821	MIR821
MIR1063	MIR1063
MIR5225	MIR5225
mir-759	mir-759
mir-483	mir-483
mir-1247	mir-1247
mir-9256	mir-9256b-6
MIR5284	MIR5284
mir-650	mir-650
mir-891	mir-891
mir-74	mir-74
MIR8565	MIR8565
mir-762	mir-762
mir-769	lin-4
mir-325	mir-325
mir-654	mir-654
mir-3811	mir-3811
mir-675	mir-675
mir-744	mir-744
mir-724	mir-724
MIR7526	MIR7526
MIR7121	MIR7121
mir-384	mir-384
mir-760	mir-760
mir-1839	mir-1839
mir-541	mir-541
mir-764	mir-764
MIR1882	MIR1882
mir-877	mir-877
mir-668	mir-668
mir-289	mir-289
mir-632	mir-632
mir-2188	mir-2188
mir-1468	mir-1468
mir-1251	mir-1251
mir-2778	mir-2778
mir-50	mir-50
mir-770	mir-770
mir-3851	mir-3851
mir-988	mir-988
MIR3454	MIR3454
mir-3689	mir-3689
mir-1233	mir-1233
mir-957	mir-957
mir-2774	mir-2774
mir-2780	mir-2780
mir-574	mir-574
mir-2985	mir-2985
MIR528	MIR528
MIR1428	MIR1428
MIR2670	MIR2670
mir-790	mir-790
mir-2060	mir-2060
mir-998	mir-998
mir-1179	mir-1179
mir-234	mir-234
MIR2587	MIR2587
MIR5565	MIR5565
mir-3084	mir-3084
MIR8032	MIR8032
mir-298	mir-298
mir-9412	mir-9412-7
mir-1248	mir-1248
mir-52	mir-52
mir-1301	mir-1301
mir-57	mir-57
MIR2676	MIR2676
mir-971	mir-971
mir-H11	mir-H13
mir-51	mir-51
mir-7385	mir-7385
mir-350	mir-350
mir-6511	mir-6511b-2
mir-7482	mir-7482-6
mir-492	mir-492
mir-1282	mir-1282
mir-1260b	mir-1260
mir-9201	mir-9201
mir-84	mir-84_1
mir-711	mir-711
MIR2585	MIR2585
MIR6462	MIR6462
mir-357	mir-357
mir-1843	mir-1843
mir-246	mir-246
mir-670	mir-670
mir-754	mir-754
mir-7918	mir-7918
mir-77	mir-77
mir-935	mir-935
mir-58	mir-58
mir-5890	mir-5890
mir-255	mir-255
mir-8935	mir-8935-6
mir-980	mir-980_1
MIR5645	MIR5645
mir-60	mir-60
mir-9845	mir-9279
MIR5272	MIR5272
mir-250	mir-250
mir-631	mir-631
mir-8923	mir-9170
MIR8771	MIR8771
mir-589	mir-589
MIR6025	MIR6025
mir-9215	mir-9215
mir-2765	mir-2765
mir-1329	mir-1329
mir-2796	mir-2796
mir-1289	mir-1289
MIR6108	MIR6108
mir-232	mir-232_1
mir-1420	mir-1420_1
mir-2808	mir-2808
MIR8167	MIR8167
MIR1446	MIR1446
mir-1199	mir-1199
mir-3154	mir-3154
MIR2680	MIR2680
mir-245	mir-245
mir-3618	mir-3618
mir-549	mir-549
MIR854	MIR854
mir-7927	mir-7927
mir-3036	mir-3036-5
MIR8657	MIR8657
mir-2788	mir-2788
mir-1545	mir-1545
mir-4667	mir-4667
mir-737	mir-737
MIR1222	MIR1222
mir-571	mir-571
mir-556	mir-556
mir-1184	mir-1184-2
MIR6267	MIR6291
mir-241	mir-241
mir-999	mir-999
MIR1846	MIR1846
MIR3627	MIR3627
MIR1444	MIR1444
mir-6529	mir-6529
mir-43	mir-43_1
mir-7383	mir-7383-5
mir-753	mir-753
MIR1919	MIR1919
MIR158	MIR158
mir-1822	mir-1822
mir-1284	mir-1284
mir-1245	mir-1245
mir-498	mir-498
MIR2656	MIR2656
MIR533	MIR533
MIR5271	MIR5271
mir-3055	mir-3055-5
mir-1805	mir-1805
MIR1023	MIR1023
mir-4743	mir-4743
MIR8775	MIR8776
MIR1033	MIR1033
MIR2600	MIR2600
mir-872	mir-872
mir-48	mir-48
mir-1180	mir-1180
mir-2114	mir-2114
mir-355	mir-355
MIR5200	MIR5200
mir-1905	mir-1905
MIR827	MIR827
mir-624	mir-624
MIR475	MIR475
mir-1225	mir-1225
mir-577	mir-577
mir-4446	mir-4446
MIR952	MIR952
mir-3180	mir-3180-5
mir-996	mir-996_1
mir-90	mir-90
mir-6516	mir-6516
mir-5928	mir-5928
MIR824	MIR824
mir-609	mir-609
mir-3173	mir-3173
mir-2483	mir-2483
mir-1912	mir-1912
mir-4003	mir-4003
mir-61	mir-61_1
MIR8788	MIR8788
mir-1250	mir-1250
mir-3473	mir-3473
mir-3064	mir-3064
mir-651	mir-651
MIR8552	MIR8552
mir-9460	mir-9460-5
MIR6425	MIR6425
MIR5741	MIR5741
mir-2147	mir-2147
mir-562	mir-562
mir-1677	mir-1677
mir-727	mir-727
MIR8743	MIR8743
mir-941	mir-941-5
MIR5236	MIR5236
MIR8139	MIR8139
mir-940	mir-940
mir-379	mir-3959
mir-887	mir-887
mir-4536	mir-4536
mir-2217	mir-2217
mir-1397	mir-1397
mir-54	mir-54
MIR858	MIR858
mir-9236	mir-9236
mir-3151	mir-3151
mir-1227	mir-1227
mir-1297	mir-1297
mir-1226	mir-1226
mir-3432	mir-3432
mir-49	mir-49
mir-672	mir-672
mir-942	mir-942
mir-254	mir-254
mir-605	mir-605
mir-616	mir-616
mir-944	mir-944
mir-766	mir-766
mir-7880	mir-7880
mir-958	mir-958
